id,name,category,province,district,description,best_time_to_visit,entry_fee,duration,activities/0,activities/1,activities/2,nearby_attractions/0,nearby_attractions/1,nearby_attractions/2,coordinates/lat,coordinates/lon,activities/3,nearby_attractions/3
dest_001,Sigiriya Rock Fortress,Historical & Cultural,Central Province,Matale,"Ancient rock fortress and palace ruins dating back to 5th century AD. UNESCO World Heritage Site featuring remarkable frescoes, mirror wall, and lion's gate. Summit offers panoramic views of surrounding forests and countryside.","January to April, August to September","USD 30 for foreigners, LKR 100 for locals",3-4 hours,rock climbing,photography,historical exploration,Pidurangala Rock,Dambulla Cave Temple,Minneriya National Park,7.957,80.7597,,
dest_002,Temple of the Sacred Tooth Relic,Religious & Cultural,Central Province,Kandy,Sacred Buddhist temple housing tooth relic of Buddha. Located in royal palace complex. Important pilgrimage site with daily religious ceremonies and annual Esala Perahera festival.,"Year-round, especially during Esala Perahera (July-August)","LKR 2000 for foreigners, LKR 500 for locals",2-3 hours,religious ceremonies,cultural exploration,museum visits,Kandy Lake,Royal Botanical Gardens,Bahirawakanda Temple,7.2936,80.6408,,
dest_003,Yala National Park,Wildlife & Nature,Southern Province,Hambantota,"Most visited and second largest national park in Sri Lanka. Highest leopard density in the world. Home to elephants, sloth bears, crocodiles, and over 200 bird species.",February to July (dry season),USD 25-30 per person plus jeep charges,Half day or full day safari,wildlife safari,bird watching,photography,Bundala National Park,Kirinda Beach,Sithulpawwa Rock Temple,6.3724,81.5197,,
dest_004,Galle Fort,Historical & Cultural,Southern Province,Galle,"17th century Dutch fort and UNESCO World Heritage Site. Well-preserved colonial architecture with cobblestone streets, boutique hotels, cafes, and museums. Surrounded by ocean on three sides.",December to March,Free to explore,Half day to full day,walking tours,shopping,dining,Unawatuna Beach,Japanese Peace Pagoda,Jungle Beach,6.0267,80.217,photography,
dest_005,Ella,Hill Country & Nature,Uva Province,Badulla,"Scenic hill country town famous for tea plantations, hiking trails, and stunning mountain views. Popular backpacker destination with laid-back atmosphere.","January to March, July to September",N/A (town),2-3 days recommended,hiking,train rides,tea estate visits,Nine Arch Bridge,Little Adam's Peak,Ravana Falls,6.8667,81.0467,waterfall exploration,Ella Rock
dest_006,Mirissa Beach,Beaches & Coastal,Southern Province,Matara,"Crescent-shaped beach famous for whale watching, surfing, and beach parties. Palm-fringed coastline with excellent seafood restaurants and nightlife.",November to April for whale watching,Free,1-3 days,whale watching,surfing,swimming,Weligama Beach,Coconut Tree Hill,Parrot Rock,5.9463,80.4686,snorkeling,
dest_007,Anuradhapura Ancient City,Historical & Cultural,North Central Province,Anuradhapura,"Ancient capital with sacred Buddhist sites over 2000 years old. UNESCO World Heritage Site featuring massive stupas, ancient pools, and Sri Maha Bodhi tree.",February to October,USD 25 for foreigners,Full day,historical exploration,pilgrimage,cycling tours,Mihintale,Wilpattu National Park,Aukana Buddha Statue,8.3114,80.4037,,
dest_008,Polonnaruwa Ancient Kingdom,Historical & Cultural,North Central Province,Polonnaruwa,"Medieval capital of Sri Lanka with well-preserved ruins. UNESCO World Heritage Site featuring royal palace, Gal Vihara rock sculptures, and ancient irrigation systems.",May to September,USD 25 for foreigners,Half to full day,cycling tours,historical exploration,photography,Minneriya National Park,Parakrama Samudra,Giritale Tank,7.9403,81.0188,,
dest_009,Nuwara Eliya,Hill Country & Nature,Central Province,Nuwara Eliya,"Scenic hill station known as 'Little England' with colonial architecture, tea plantations, and cool climate. Surrounded by mountains, valleys, and waterfalls.",December to March,N/A (town),2-3 days,tea estate tours,hiking,boating,Horton Plains,Gregory Lake,Victoria Park,6.9497,80.7891,strawberry picking,Pedro Tea Estate
dest_010,Horton Plains National Park,Wildlife & Nature,Central Province,Nuwara Eliya,Highland plateau with unique biodiversity and stunning landscapes. Home to World's End cliff (880m drop) and Baker's Falls. UNESCO World Heritage Site.,January to March,USD 25 for foreigners,4-6 hours for full circuit,hiking,wildlife watching,photography,World's End,Baker's Falls,Nuwara Eliya town,6.8167,80.8,nature walks,
dest_011,Dambulla Cave Temple,Religious & Cultural,Central Province,Matale,"Largest and best-preserved cave temple complex in Sri Lanka. Five caves containing 153 Buddha statues, ancient murals covering 2,100 square meters. UNESCO World Heritage Site.",Year-round,LKR 1500 for foreigners,2-3 hours,temple visits,cultural exploration,photography,Sigiriya,Golden Temple,Rangiri Dambulla Stadium,7.8567,80.6489,,
dest_012,Udawalawe National Park,Wildlife & Nature,Sabaragamuwa Province,Ratnapura,Important habitat for Sri Lankan elephants with population of over 500. Created around Udawalawe Reservoir with grasslands and scrub jungle. Excellent for wildlife photography.,"Year-round, best May to September",USD 15-20 per person plus jeep charges,Half day safari,elephant watching,wildlife safari,bird watching,Elephant Transit Home,Udawalawe Reservoir,Sinharaja Forest,6.4383,80.8789,,
